,tdate,close_0,symbol_0,close_1,symbol_1,close_2,symbol_2,close_3,symbol_3,close_4,symbol_4,close_5,symbol_5
1305,2005/1/5,74.25,1,105.5,1,14.15,1,4.07,1.0,71.25,1,23.7,1
1306,2005/1/6,74.0,2,105.0,2,14.1,2,4.05,2.0,71.0,2,23.65,2
1307,2005/1/7,72.5,1,104.5,2,13.95,1,4.03,2.0,69.5,1,23.65,2
1308,2005/1/10,72.5,2,105.0,2,14.05,2,4.03,2.0,69.0,2,24.1,0
1309,2005/1/11,71.75,1,105.0,2,13.9,1,4.05,2.0,68.25,1,23.75,1
1310,2005/1/12,72.0,2,105.0,2,13.95,2,4.05,2.0,69.25,0,23.6,2
1311,2005/1/13,73.0,0,105.0,2,14.35,0,4.1,0.0,70.0,0,23.25,1
1312,2005/1/14,72.5,2,105.0,2,14.25,2,4.1,2.0,70.0,2,23.0,1
1313,2005/1/17,73.0,2,105.5,2,14.25,2,4.15,0.0,70.75,0,23.05,2
1314,2005/1/18,72.5,2,105.5,2,14.3,2,4.2,0.0,71.0,2,23.0,2
1315,2005/1/19,72.75,2,105.0,2,14.35,2,4.25,0.0,71.75,0,23.1,2
1316,2005/1/20,72.5,2,104.0,2,14.2,1,4.22,2.0,71.25,2,23.05,2
1317,2005/1/21,71.5,1,103.5,2,14.05,1,4.2,2.0,70.25,1,22.85,2
1318,2005/1/24,69.75,1,103.5,2,13.95,2,4.2,2.0,69.25,1,22.55,1
1319,2005/1/25,71.5,0,104.0,2,14.0,2,4.28,0.0,70.0,0,23.0,0
1320,2005/1/26,71.25,2,105.0,2,13.9,2,4.3,2.0,70.0,2,23.05,2
1321,2005/1/27,71.5,2,105.0,2,13.85,2,4.3,2.0,70.0,2,23.5,0
1322,2005/1/28,71.5,2,105.0,2,13.9,2,4.3,2.0,70.75,0,23.25,1
1323,2005/1/31,71.5,2,105.5,2,14.05,0,4.32,2.0,71.0,2,23.25,2
1324,2005/2/1,71.0,2,105.0,2,13.8,1,4.32,2.0,69.75,1,22.85,1
1325,2005/2/2,70.5,2,105.0,2,13.95,0,4.32,2.0,69.5,2,22.95,2
1326,2005/2/3,70.5,2,104.5,2,13.85,2,4.3,2.0,69.5,2,23.1,2
1327,2005/2/4,70.5,2,104.5,2,13.8,2,4.32,2.0,69.25,2,23.3,2
1328,2005/2/7,71.75,0,105.5,2,13.95,0,4.45,0.0,70.25,0,23.4,2
1329,2005/2/8,72.25,2,106.0,2,14.0,2,4.45,2.0,70.25,2,23.6,2
